Annibale De Gasparis
Eben Moglen
Ercole Dembowski
Ulisse Dini
Giovanni Battista Donati
Federigo Enriques
Francesco Faà di Bruno
Giulio Fagnano dei Toschi
Gino Fano
Gaspare Stanislao Ferrari
Galileo Ferraris
Yoshida Kenkō
Freeman Dyson
Stephen Baxter
Carl Sagan
Costante Girardengo
Serge Gainsbourg
Edoardo Vesentini
Arthur C. Clarke
Angelina Jolie
Nino Manfredi
Paolo Giacometti
Luigi X di Francia
Giovanni I di Francia
Guglielmo II di Germania
Hans Asperger
Lorna Wing
Ottone I del Sacro Romano Impero
Giovanni III del Portogallo
Giuseppe Pinelli
Giuseppe Pellizza da Volpedo
Romualdo Marenco
Ronald Reagan
George Gordon Byron
Charles Glover Barkla
Philipp von Lenard
Ueda Akinari
Chikamatsu Monzaemon
Franz Kafka
Horace Walpole
Henry Mancini
Guglielmo da Volpiano
Barthélemy Catherine Joubert
Columba di Iona
Max Wertheimer
Kurt Koffka
Wolfgang Köhler
Valentino Bompiani
Julia Roberts
William Butler Yeats
Jacques-Yves Cousteau
Louis Charles Antoine Desaix
Louis Prima
Jackie Stewart
Michele Angiolillo
Carlo Cafiero
Sante Caserio
Francesc Ferrer i Guàrdia
Émile Henry
Alexandre Marius Jacob
Gino Lucetti
Luigi Lucheni
Nestor Ivanovič Machno
Ravachol
Enrico di Fiandra
Charlotte Gainsbourg
Shigeru Miyamoto
Arduino d'Ivrea
Vannevar Bush
Thomas Robert Malthus
Charles Augustin de Coulomb
Papa Callisto I
Shmuel Yosef Agnon
Federico III di Germania
Jurij Vladimirovič Andropov
Ella Fitzgerald
Jacobo Arbenz Guzmán
Eugène Boudin
Robert Capa
Joan Baez
Maria Cebotari
Allen Welsh Dulles
Papa Innocenzo III
Gustave Flaubert
Maria Goretti
Johan Barthold Jongkind
Gary Lineker
Sepp Kerschbaumer
Wild Bill Hickok
Sei Shōnagon
Ferenc Puskás
May Britt
Reinhard Heydrich
Gervasio Antonio de Posadas
Franco Modigliani
Pietro Abelardo
Henri Coandă
Nadia Comăneci
James Monroe
Takeshi Kitano
Émile Durkheim
Michel Foucault
Aage Niels Bohr
Papa Leone IX
Carlo Gesualdo
Jim Jones
Sergio Atzeni
Flann O'Brien
Johann Gutenberg
Miecislao II di Polonia
Heinrich Schliemann
Tonina Torrielli
Aldo Capitini
Papa Innocenzo V
Jack Lemmon
Charles Berlitz
Andrew Lloyd Webber
Sibilla Aleramo
Luigi Dadda
Sergej Vasil'evič Rachmaninov
Maria Domenica Mazzarello
Abel Ferrara
Marco Clodio Pupieno Massimo
Vladimir Borisovič Kramnik
Frank Herbert
Aleksej Alekseevič Abrikosov
Bill Watterson
Giovanni Riccioli
Silvius Magnago
Gerry Mulligan
Giulio Monteverde
Vincenzo Scamozzi
Francisco Pizarro
Humberto Ramos
Andrew Wiles
Alejandro Jodorowsky
Ralph Chubb
Papa Paolo I
Klaus von Klitzing
Sheena Easton
Albert Camus
Angelo Francesco Lavagnino
Béla Bartók
Asaph Hall
Lars Ulrich
Luis Buñuel
Tarkan
Mitchell Parish
Glenn Miller
Luigi Guido Grandi
Glenn Murcutt
Carlo VIII di Francia
Hercule Savinien Cyrano de Bergerac
Rainer Werner Fassbinder
Bill Clinton
