Carl Anderson (cantante),106507170,
Sergio Ramos,169833874,
Jay Leno,13110911,
Emma Stone,29366298,
Michel Fattal,111511472,
Lisa Nicole Carson,66102465,
Bernhard Horwitz,169599333,
Erich Mendelsohn,64036345,
Avery Brundage,64798668,
Amanda Beard,268575337,
Jean Baptiste Charles Bouvet de Lozier,78603991,
Marley Shelton,64211979,
Paul Graener,22325751,
Hans Magnus Enzensberger,31725760,
Anton Dohrn,81327,
Federico II di Brandeburgo,22932880,
Carlo Tommaso di Lorena,50122059,
Juho Vennola,9509262,
Karen Dotrice,12515226,
Eduard Vilde,105016,
Luigi Antonio di Borbone-Francia,24714167,
Jean Verdier,73887785,
Alberto di Sassonia-Eisenach,71776458,
Marija Aleksandrovna Spiridonova,27884279,
Toulo de Graffenried,43029311,
Leslie Wing Pomeroy,58374957,
Louis Botha,50016466,
Charles D. Hall,53955550,
Jakub Jan Ryba,76505912,
Johann Liss,,
Mike Einziger,44533340,
Giovanni Adolfo II di Sassonia-Weissenfels,12735130,
Eddie Jefferson,12497354,
Mario Calvo Platero,36762894,
Hassan Gouled Aptidon,64169601,
Roman Ingarden,108241126,
Justinien Clary,14810532,
Stane Dolanc,18292444,
Miles Davis,97762193,
Rainer Maria Rilke,46897170,
John Spike,17251049,
Stephen Flowers,76929306,
Donn Cambern,78346797,
Gene Callahan,6774397,
Gottfried von Hohenlohe,37831702,
Michael Dukakis,3764338,
Riccardo Billi,86892182,
Mathilde Seigner,2139147,
Remco Campert,85327177,
Catherine Zeta-Jones,117030909,
Erin Daniels,34220320,
Jane Winton,93814456,
Ilaria Alpi,64859956,
Valdis Dombrovskis,168843281,
Katey Sagal,11874955,
Pia Tassinari,76507302,
David Bailey,112237914,
David Zayas,66280476,
Franco Faccio,27227494,
Vincenzo Fagiolo,41722522,
Oscar Niemeyer,22146474,
Heinrich Clam-Martinic,103376618,
Alexander Lippisch,3238058,
Silvio Valenti Gonzaga,52598051,
Lorenzo Robledo,171094714,
Donald William Kerst,8990044,
Burton J. Hendrick,17659503,
Benedetto Varchi,46868282,
Ray Nitschke,9163502,
Rupert Hollaus,8451326,
Adolphe Willette,22150271,
Svend Grundtvig,5694716,
John Abercrombie (jazzista),120082721,
Georges Gurvitch,9908630,
Giorgio Del Vecchio,108638089,IT\ICCU\CFIV\092829
David Greene (regista),61748697,
Don Carlos,42628982,
Bob Griese,57849282,
Antonio Lupis,63994434,
Myra Hess,61732095,
Richie Sambora,84961084,
Lin Anderson,6046185,
Shekib Arslan,73935498,
Bruce Bawer,93723649,
Pietro Querini,76592974,
John Garibaldi Sargent,28626879,
Marco Kreuzpaintner,86946891,
Bernie Shaw,171035275,
David Sklansky,2805789,
Warington Baden-Powell,120128780,
Richard Crenna,66651392,
"John Manners, marchese di Granby",51251252,
Javier Clemente,68211337,
Violet Gibson,58414824,
August Gaul,22935877,
Carlo Pisacane (patriota),54190341,IT\ICCU\CFIV\112107
Frank de Boer,25841976,
Samuel Adler,37656209,
Branko Crvenkovski,67333030,
Mainardo I di Tirolo-Gorizia,67261656,
Jack Tramiel,13740022,
Stephen Carpenter,84965517,
Luciano Fabro,17245440,
Angelo Novi,14898769,
Kevin J. Anderson,113153910,
Jeffrey Wright,85630944,
Chenjerai Hove,54878632,
June Travis,67760706,
Thomas Walker Gilmer,34012794,
Jon Stewart,71010364,
Nigel Hitchin,89987,
Florence Foster Jenkins,12491330,
Villibrordo vescovo,264129040,
Milton Babbitt,49407206,
Don Revie,58265076,
Badal Roy,22336304,
Antonio Tempesta,73935201,
Minamoto no Yoshitsune,47572043,
Alberto I di Baviera,37825801,
George Johnston Allman,100223787,
Michael Weston,74173367,
Michel Simon,45227,
Francesco Adorno,79045491,IT\ICCU\CFIV\028120
Christopher Walken,85564897,
Carl Lampert,45098460,
Edward Szczepanik,210947057,
Guido Castelnuovo,39450340,IT\ICCU\CFIV\103114
Werner Arber,15582183,
Christian Albrecht Jensen,22941549,
Luigi Enrico Rossi,8876129,
Burgess Meredith,94475045,
Fritz Wepper,2683063,
Bill Reid,51726674,
Jean-Claude Pressac,19682994,
Ian Wallace,79668130,
Anita Stewart,26235264,
Shawn Yue,74168262,
Michele Tenore,29523124,
Parry O'Brien,35630407,
Anna Lindh,77372534,
Steven Zaillian,85096914,
Yuridia,36696112,
Rinaldo degli Albizzi,88971191,
Louis Antoine de Bougainville,64002363,
Thomas Mann (attore),251852709,
Mohamed Kallon,122077186,
Pomponio Mela,34489209,
Christophe Dominici,66779477,
Yoko Ono,111076257,
Jay Cassidy,169596263,
Edmund Gosse,54239311,
Louise Julie de Mailly,43415328,
Segismundo Casado,28301899,
Daniel Bernhardt,14973489,
Barry Coe,21858220,
Ian McEwan,95242842,
Charles Richardson,189199057,
Akiko Wakabayashi,2085915,
Wolfgang Seidel,221088259,
Christian Cullen,65985055,
Ravi Shankar,84975629,
Adam Gary Sevani,160538367,
John Abbey,25342185,
"Peregrine Osborne, II duca di Leeds",356689,
Pietro Mogila,54958072,
Bruno Bartoletti,84562697,IT\ICCU\MUSV\004847
Colinet de Lannoy,64272796,
George Bernard Flahiff,89672248,
Teodorico Pedrini,49419228,
Charles McGraw,5118335,
Sven Lindqvist,111494523,
William Calley,32527312,
Harry Anderson,51891152,
Leonardo De Lorenzo,79260944,
Johan Bruyneel,91220212,
Vinzenz Bronzin,30733161,
Luisa Cristina di Savoia-Carignano,220788943,
Sarah Brightman,42033137,
Ivor Novello,56811010,
